928 97396 
257234 
520849 
495209 
897760 
112047 
812934 
695089 
744041 
658284 
250742 
194538 
893077 
310782 
828273 
298755 
284574 
821271 
188929 
426836 
558544 
49397 
260829 
957076 
444321 
140235 
769163 
601090 
647456 
333307 
878964 
607577 
256101 
226752 
681515 
773892 
810235 
547161 
438283 
890664 
815146 
955685 
172178 
351563 
523047 
835946 
336345 
837688 
921558 
376054 
588957 
849540 
602905 
668459 
34914 
645871 
697118 
221965 
20185 
171665 
988941 
877969 
254057 
478201 
155433 
778275 
882611 
152082 
393942 
578391 
74759 
607251 
335859 
671925 
939434 
534850 
67195 
222504 
714238 
848906 
275685 
414466 
143643 
653021 
988425 
778706 
153613 
53175 
860333 
41847 
982966 
143865 
24390 
161926 
742882 
443725 
652391 
659408 
732819 
790047 
404477 
702706 
992428 
183529 
525851 
332181 
612322 
507218 
629189 
295991 
788499 
368199 
694311 
13056 
744454 
590472 
172396 
379550 
67489 
874242 
301937 
653083 
975799 
454038 
937793 
227876 
580788 
226283 
219869 
165113 
518006 
273293 
304366 
116911 
434959 
646335 
521679 
248463 
702357 
4965 
746737 
928215 
182571 
335579 
963429 
783763 
974097 
522148 
519384 
395221 
793955 
811702 
204290 
206290 
49861 
798728 
941753 
833713 
169069 
420261 
48326 
395477 
876750 
980777 
554058 
633372 
193448 
666063 
989032 
551954 
855500 
317324 
461590 
290964 
513054 
794816 
385819 
215135 
188785 
252975 
817183 
58119 
427913 
529559 
197515 
986523 
867283 
904695 
895592 
984275 
954949 
382165 
193503 
130010 
964756 
895052 
169913 
445708 
120654 
925543 
66505 
937161 
146465 
289567 
456480 
637627 
565228 
820326 
429768 
249464 
981313 
541645 
202730 
474219 
760611 
845223 
688161 
290625 
859641 
130002 
814552 
786860 
543391 
32638 
263010 
886634 
333102 
814211 
176016 
993476 
230154 
9773 
300038 
948223 
139050 
302174 
525926 
607007 
200745 
719742 
134450 
294570 
817740 
908892 
827531 
19067 
877240 
327496 
456484 
613546 
73123 
857429 
392951 
620335 
857482 
349633 
727602 
601374 
559982 
893591 
420230 
742995 
970062 
624227 
858528 
318507 
208687 
387527 
463028 
371191 
830602 
946517 
538087 
165145 
78813 
47413 
491948 
54640 
565118 
278356 
162595 
758123 
797711 
476970 
855376 
975822 
95055 
483512 
246808 
99302 
225987 
621068 
20118 
523736 
649893 
839607 
197203 
746882 
909847 
421738 
928172 
437638 
381981 
909733 
132661 
667710 
107366 
315562 
198726 
488653 
243425 
656299 
750200 
713134 
985416 
216172 
786809 
282276 
709320 
751979 
386699 
262932 
618183 
345691 
113910 
350801 
129844 
909880 
134570 
572562 
263474 
828058 
114454 
918734 
421349 
435439 
177833 
519688 
89921 
772239 
458315 
209955 
179613 
841514 
836039 
781024 
976275 
24130 
437529 
812423 
604641 
555374 
870482 
969107 
832664 
258972 
745882 
726693 
56169 
788844 
288478 
179764 
693760 
744563 
856207 
975742 
267294 
160831 
189959 
926256 
370906 
363417 
940721 
349016 
853062 
483273 
66615 
598772 
809409 
763440 
623304 
700638 
381930 
615778 
239423 
263617 
187652 
420295 
136627 
720053 
769407 
777843 
348512 
624095 
122659 
966839 
46355 
274121 
854756 
394421 
319828 
504446 
383636 
337936 
402505 
261581 
683831 
122229 
897878 
892853 
252215 
675524 
662652 
405452 
971980 
923340 
291734 
543207 
39273 
705350 
665269 
909832 
782189 
764169 
189461 
397926 
533730 
850438 
560727 
912237 
502101 
108359 
594599 
24676 
199961 
53707 
88798 
456783 
215146 
955795 
689095 
769126 
820286 
541794 
938233 
196037 
28679 
388051 
534343 
963772 
373779 
517345 
823347 
293401 
485624 
986794 
34085 
877589 
86648 
939265 
953305 
686442 
517850 
476174 
221490 
749423 
611844 
514201 
513315 
335076 
968274 
999530 
107593 
662845 
335952 
71332 
135585 
195034 
850060 
267660 
695115 
309717 
646447 
871549 
415496 
160952 
611793 
723476 
136826 
936271 
770668 
529686 
357774 
627316 
372651 
58171 
117336 
152743 
773914 
558988 
685134 
789170 
123297 
563835 
324527 
325424 
882916 
284029 
75573 
750447 
908295 
213270 
812011 
899027 
277415 
370591 
431708 
167305 
483615 
50890 
712472 
332468 
598520 
911104 
944291 
536020 
754185 
713839 
97800 
412928 
949944 
513677 
216457 
510840 
529121 
493235 
199853 
485729 
450038 
354893 
660317 
393689 
656669 
236711 
211109 
55664 
772419 
195274 
987791 
126620 
993601 
392180 
602133 
675800 
533292 
314934 
97049 
299673 
11169 
943863 
791317 
212422 
752218 
135890 
503393 
211307 
998022 
706627 
462703 
60685 
907335 
582453 
408715 
964417 
743899 
44586 
934736 
67791 
888518 
163616 
357336 
624314 
871809 
895769 
263736 
780068 
239991 
11322 
886303 
82459 
808714 
729651 
944451 
915228 
541455 
768896 
889820 
895919 
53940 
836673 
309530 
807510 
355733 
654267 
199442 
352814 
372182 
905852 
660972 
734495 
575956 
434518 
508192 
418600 
935488 
118774 
618771 
436748 
853874 
787853 
851880 
176727 
685643 
628734 
560189 
588426 
218970 
390899 
278117 
836776 
728435 
68717 
975837 
545419 
446416 
213910 
212084 
927578 
316648 
441276 
396674 
874550 
252199 
935187 
553882 
351518 
268120 
501183 
985641 
849789 
505644 
194028 
916681 
766397 
675815 
28948 
819201 
281751 
895007 
959661 
199919 
343260 
434773 
391286 
556556 
460133 
742500 
362999 
435969 
229358 
82964 
526127 
717997 
227795 
267820 
227370 
361711 
401538 
207183 
952357 
711118 
629429 
122357 
393614 
946165 
282243 
394496 
296031 
700111 
312679 
954884 
888278 
27347 
870765 
877260 
14792 
694518 
158158 
777766 
292177 
923991 
248654 
571590 
507250 
972454 
476673 
95087 
317178 
32359 
893197 
863596 
933727 
370877 
569238 
740113 
962381 
387054 
415449 
966 
240655 
631483 
476869 
53411 
310644 
74502 
314977 
682848 
444264 
764924 
98089 
558052 
271856 
889555 
203471 
204661 
637013 
103074 
208426 
977534 
416947 
464667 
667017 
959567 
111467 
298705 
168512 
329088 
437116 
708217 
779694 
567943 
475299 
667916 
573641 
783968 
765662 
146698 
301475 
788720 
678927 
186376 
99995 
687515 
580975 
240781 
825977 
380495 
787424 
471994 
139914 
502177 
904811 
941180 
145048 
398208 
824168 
776186 
677806 
959369 
630242 
482829 
391262 
397176 
889842 
738287 
553811 
369449 
787504 
393543 
929764 
112107 
866790 
34441 
59964 
975030 
73645 
89592 
498668 
312080 
133796 
16801 
903421 
689586 
247337 
745627 
107499 
464706 
520150 
460366 
742143 
602537 
115781 
406960 
96286 
249762 
174132 
582496 
755987 
458873 
935981 
382904 
108540 
808120 
884521 
407417 
57305 
137597 
33931 
622330 
289310 
716561 
231515 
513699 
948072 
591937 
186607 
728664 
776125 
710601 
895024 
565241 
102591 
189252 
144444 
77863 
487611 
185251 
179652 
281492 
25789 
464586 
87246 
931335 
326228 
303400 
899965 
639586 
468873 
358943 
471828 
105728 
229360 
55629 
464643 
634316 
973829 
773633 
361083 
578933 
561873 
978297 
650371 
789386 
512137 
952975 
968119 
460759 
577192 
872796 
873869 
519910 
125807 
130965 
125571 
686923 
733704 
396400 
277044 
434573 
420633 
663914 
645891 
618738 
19025 
958440 
28198 
538967 
904200 
295275 
105025 
212920 
352426 
781937 
290536 
112089 
631240 
607942 
760049 
407713 
19895 
196435 
132438 
606807 
253224 
299939 
314236 
995532 
510068 
501860 
229162 
486748 
887288 
335917 
896144 
266840 
987553 
533355 
403311 
976594 
457513 
496580 
531346 
868624 
993023 
763509 
986288 
422024 
558560 
823690 
909140 
408126 
660626 
744010 
514550 
46267 
109468 
860322 
572516 
953805 
430939 
200299 
411341 
320746 
300083 
974549 
404570 
726050 
90632 
291543 
422164 
741832 
282004 
820518 
43571 
295973 
28665 
545114 
973712 
930023 
14541 
904948 
902340 
77731 
321128 
354630 
527170 
828869 
31938 
11648 
868006 
628945 
285253 
468960 
516419 
19398 
68042 
294565 
277837 
787077 
345859 
748559 
138578 
361832 
491084 
751716 
934658 
414804 
690441 
440880 
110784 
488101 
85537 
897824 
993355 
966768 
965124 
966611 
172262 
424024 
723359 
470181 
345360 
978458 
445172 
934696 
534270 
692872 
6803 
994999 
545121 
734122 
666348 
1273 
800340 
884662 
597803 
557472 
239742 
106378 
18281 
299756 
70602 
920059 
317156 
532832 
345325 
72971 
129978 
458553 
748456 
52212 
772653 
844888 
645902 
116482 
243334 
738096 
830809 
449483 
57371 
606580 
172427 
334024 
936718 
456297 
935045 
618265 
182650 
928749 
448752 
436615 
528079 
136462 
12166 
467510 
846123 
927086 
595672 
86959 
491823 
945481 
566663 
455696 
597422 
489362 
72594 
443333 
140496 
808477 
122702 
301319 
821670 
259269 
311992 
996625 
270839 
956657 
643282 
838943 
501520 
955810 
871921 
342500 
336165 
677308 
29712 
437142 
761820 
907785 
396513 
385689 
189691 
67090 
913841 
322574 
667328 
984906 
529565 
926616 
938219 
545039 
206850 
875528 
699983 
12517 
134107 
386917 
64700 
170909 
687551 
486152 
287785 
139851 
911536 
409811 
117024 
471268 
334427 
999423 
789494 
594772 
784882 
801138 
285427 
202465 
605698 
400973 
652618 
773808 
132857 
639850 
432173 
21197 
960344 
185598 
720135 
957450 
821968 
887881 
653295 
663652 
177127 
297727 
593060 
406302 
713693 
147075 
514273 
763620 
432335 
627246 
733036 
653236 
584307 
67215 
820799 
736596 
933344 
911657 
484855 
667521 
117920 
121832 
746284 
868171 
470702 
720997 
697171 
449910 
669035 
975501 
729659 
440763 
458419 
446015 
885173 
130624 
476095 
961447 
835862 
235394 
818725 
778280 
469733 
602649 
531728 
678797 
930854 
612098 
632802 
909690 
395935 
759217 
254286 
209653 
906746 
680137 
949839 
561716 
480470 
426887 
946338 
997840 
145711 
999015 
172480 
682225 
221615 
309287 
163113 
118415 
805999 
945075 
527495 
533109 
69909 
955722 
231970 
186801 
890426 
167439 
585306 
130711 
887585 
900403 
358442 
579261 
404538 
629451 
198298 
61712 
740350 
699650 
126181 
415138 
299400 
59893 
433015 
625791 
845887 
797697 
127239 
734363 
52277 
466160 
86575 
51366 
779661 
374191 
539737 
764176 
638384 
710957 
135795 
686568 
626504 
43465 
682240 
912348 
166813 
65526 
227503 
856885 
887902 
196354 
278742 
740668 
745378 
145302 
224588 
751034 
435932 
208452 
895407 
679755 
434300 
392618 
545417 
583606 
843458 
834739 
87582 
430889 
199050 
548318 
759020 
298392 
225057 
278688 
278432 
115290 
495462 
393735 
438919 
936293 
139810 
416923 
798351 
351762 
770176 
4447 
953574 
488508 
710447 
5217 
537241 
39605 
366950 
788141 
150204 
32608 
558389 
59484 
218092 
692005 
317800 
158820 
246253 
527147 
905896 
323939 
813112 
237887 
937816 
456901 
621790 
958690 
993060 
49234 
220815 
969119 
330231 
118229 
756236 
537044 
770330 
619017 
285192 
481258 
853112 
888624 
993707 
544350 
971145 
983318 
394612 
294173 
676883 
315832 
476543 
536626 
242392 
485195 
8099 
317005 
719658 
129485 
499635 
992859 
30926 
312687 
479457 
639228 
160149 
120202 
170670 
166189 
896220 
442437 
699674 
14975 
861713 
962985 
461150 
211317 
183896 
653461 
550536 
552186 
852519 
847188 
929289 
201585 
808647 
351440 
208149 
442549 
489838 
837965 
247505 
794926 
136760 
695333 
66996 
243754 
808343 
931600 
309344 
44186 
389976 
423102 
834703 
43641 
792730 
940446 
534577 
838867 
622474 
301026 
990068 
422948 
37904 
594194 
496692 
938204 
313228 
464956 
764113 
200341 
33326 
725684 
543372 
281731 
592110 
621809 
158464 
793372 
801562 
147764 
383072 
908803 
627583 
982714 
764627 
158080 
295959 
962062 
567399 
233934 
833910 
163820 
130870 
743335 
242573 
898023 
297438 
306023 
308311 
614162 
573253 
848562 
485132 
389105 
121812 
664359 
65812 
74341 
900995 
917795 
585423 
511291 
768573 
432545 
252723 
324242 
237761 
832748 
234143 
80472 
900972 
5811 
427954 
638289 
220208 
844241 
920407 
617112 
366213 
14253 
389567 
541725 
154505 
188280 
803275 
236104 
253549 
395692 
210226 
486780 
415634 
131210 
959856 
382688 
713184 
77238 
260425 
600763 
886719 
609766 
852989 
474587 
263933 
477469 
107748 
888499 
617467 
542066 
252897 
972081 
445294 
418990 
524882 
418852 
890580 
932011 
443445 
855946 
552614 
71933 
513491 
530206 
404298 
104394 
379743 
588457 
700946 
968816 
792797 
682088 
298444 
871502 
144260 
783937 
412197 
215499 
956586 
35012 
878732 
991997 
332066 
891492 
796002 
222484 
402892 
998498 
524396 
487568 
464129 
869303 
93021 
990403 
418824 
114009 
711939 
631836 
542805 
841643 
685807 
8351 
804166 
171326 
133506 
108348 
51182 
823694 
913642 
39400 
219865 
206506 
902759 
7461 
594649 
198248 
977822 
142657 
84532 
607981 
272355 
194002 
737108 
599363 
868777 
996849 
669892 
550927 
950722 
890594 
212963 
417313 
76856 
470822 
966844 
351449 
181640 
207687 
134870 
706804 
299064 
941211 
947670 
430957 
773413 
938649 
789962 
436411 
380549 
118928 
930872 
5707 
353703 
712127 
331256 
88897 
420573 
478653 
885780 
562308 
434449 
879269 
696029 
879573 
240014 
261360 
486716 
95947 
254154 
914118 
561120 
38703 
47595 
972507 
768622 
32651 
78528 
22957 
772823 
348948 
110355 
691511 
910699 
567979 
519420 
240403 
471584 
96431 
872036 
876408 
388680 
849335 
700077 
520614 
973808 
737542 
47667 
81868 
204704 
255086 
346240 
291596 
193158 
312654 
100699 
762020 
77934 
469248 
402445 
48442 
559413 
932666 
605482 
418399 
114206 
87690 
430690 
982698 
479356 
402546 
343251 
427749 
787951 
191259 
940927 
40950 
516223 
488461 
836904 
522686 
165350 
796277 
928958 
553435 
163802 
708306 
998619 
79021 
273800 
12884 
625125 
710425 
442854 
133982 
422522 
797824 
502995 
317057 
122899 
25719 
912864 
783390 
865403 
891186 
349771 
735081 
488880 
226228 
635164 
626482 
440439 
817260 
374824 
316185 
660384 
112187 
117880 
568406 
428337 
84873 
385448 
607500 
347878 
207941 
14134 
922654 
663808 
610083 
719040 
61752 
993186 
387017 
907917 
310984 
992331 
486342 
801706 
471465 
702807 
246420 
643812 
767147 
483695 
181936 
649808 
147747 
531673 
151269 
368947 
92449 
361934 
172279 
256298 
893022 
556823 
457762 
264194 
251631 
9759 
749339 
644389 
426843 
273877 
692549 
404177 
982071 
472872 
862926 
643528 
104473 
664245 
897293 
168013 
406994 
3640 
994444 
969690 
472373 
879012 
306782 
997004 
590358 
534009 
434706 
75631 
314248 
473099 
838774 
246407 
583296 
455338 
817222 
126222 
144722 
39444 
94642 
807529 
625887 
854693 
404511 
56989 
486096 
89027 
10769 
112528 
556843 
266589 
640638 
206178 
68551 
27578 
938555 
412441 
18619 
529253 
92486 
24522 
614124 
898006 
880204 
324241 
511902 
504112 
744852 
725106 
20449 
47323 
266685 
465305 
101148 
371374 
624318 
276695 
803691 
182105 
884452 
503482 
965578 
627769 
728603 
314480 
473838 
751545 
770486 
684124 
955191 
547807 
752390 
123156 
817784 
755355 
130532 
197141 
633840 
468517 
478655 
813369 
601527 
519446 
104804 
191062 
407169 
433450 
934922 
705056 
607179 
670509 
305173 
711078 
426438 
558855 
118177 
796861 
467202 
853602 
416418 
734462 
829808 
481970 
324336 
766091 
485020 
86406 
474286 
435624 
952416 
927621 
507941 
186413 
799466 
241485 
753816 
390580 
164922 
577249 
646023 
408911 
961849 
990900 
784322 
452730 
445647 
358118 
658735 
247026 
74164 
8359 
904164 
427966 
596759 
697871 
765087 
623476 
955313 
929936 
69674 
389485 
329516 
493852 
733780 
297862 
352880 
699790 
64614 
638308 
992939 
431131 
905250 
727693 
688765 
193409 
83175 
319906 
246141 
31866 
529806 
539619 
888133 
789912 
248207 
157291 
163003 
190915 
178682 
261574 
51071 
209115 
840034 
4982 
121317 
864940 
582090 
682775 
652029 
214910 
187497 
57249 
423030 
584027 
601346 
847197 
889237 
803059 
267711 
81935 
882913 
678745 
82463 
526619 
637701 
590375 
156961 
942484 
863728 
558929 
850278 
560871 
262740 
460330 
833857 
841883 
947113 
209607 
789344 
436705 
808202 
277544 
293644 
697702 
955807 
819559 
504650 
607008 
733559 
633107 
918282 
449063 
301015 
725908 
119210 
491777 
260361 
717427 
615183 
779518 
606509 
606207 
833892 
822658 
669844 
341368 
90168 
935176 
858660 
445308 
360419 
371692 
135121 
906827 
695377 
318571 
14648 
873648 
313765 
785155 
93146 
718021 
772423 
615337 
895747 
106574 
959615 
846558 
791134 
481551 
261179 
445767 
829917 
527413 
755162 
611137 
864070 
469680 
648310 
292722 
36624 
935394 
826561 
209181 
872883 
654261 
574738 
885914 
173318 
296872 
54700 
760738 
970095 
519469 
195654 
857484 
231743 
530572 
418473 
401403 
204857 
531808 
69227 
752772 
9344 
639440 
160153 
387185 
191744 
825079 
636297 
885894 
155303 
242188 
186414 
31583 
389140 
909294 
686730 
192499 
356595 
427621 
75967 
791529 
88199 
248739 
712027 
834482 
191077 
861754 
933926 
597938 
432200 
996150 
967998 
186971 
285639 
604576 
472694 
677631 
679233 
734586 
483334 
45921 
846104 
775402 
991110 
111153 
254814 
904035 
994761 
15156 
623723 
588160 
407675 
530733 
228584 
157449 
262958 
136120 
130116 
710235 
608646 
82516 
110369 
45201 
247698 
422218 
478366 
758406 
436077 
963492 
508225 
69606 
725309 
768625 
600479 
594902 
503226 
226052 
143976 
998671 
423254 
456948 
343941 
788635 
110881 
832136 
427438 
112516 
436943 
266074 
664573 
468083 
103516 
357525 
405569 
927403 
453994 
689059 
153232 
540862 
908298 
257474 
23786 
519208 
766680 
605632 
838687 
84994 
70926 
715439 
758962 
813118 
5537 
995983 
289166 
675122 
324371 
416967 
820386 
650471 
639226 
269625 
564469 
221525 
190592 
881776 
366864 
282397 
34922 
992295 
547074 
226207 
316373 
437780 
533944 
792947 
225747 
506310 
743623 
479215 
566527 
148076 
602527 
898915 
626511 
751591 
505981 
672790 
537417 
968506 
961655 
935982 
878507 
113465 
11644 
584215 
61247 
280636 
941504 
909322 
737746 
539730 
712807 
754842 
13111 
282684 
725146 
968352 
739475 
952381 
616375 
602654 
311081 
658059 
418892 
824171 
786437 
185554 
964373 
578781 
156917 
98085 
580544 
282417 
484153 
53397 
758982 
496982 
126290 
115558 
416674 
906271 
33857 
410660 
142091 
854146 
156742 
292355 
291510 
184138 
736836 
603989 
216758 
807397 
971309 
540452 
507235 
382706 
53484 
407447 
229620 
743672 
507585 
460612 
308363 
230805 
381152 
174425 
156611 
417969 
175183 
159312 
259299 
84923 
495025 
827625 
404184 
932968 
558111 
312828 
365373 
511538 
516198 
750594 
779055 
719926 
255433 
31989 
785857 
181570 
262064 
355492 
763612 
578022 
221766 
147655 
110844 
970512 
851602 
960158 
418011 
389410 
99947 
214117 
859913 
986332 
450650 
377371 
152865 
526454 
318537 
413541 
596987 
764137 
850629 
20172 
560333 
293374 
658491 
2689 
1639 
704331 
593210 
190364 
529345 
409733 
945566 
143839 
796615 
667505 
419362 
438286 
840005 
500985 
805611 
623264 
729604 
891937 
589404 
220617 
339094 
961719 
753662 
215620 
713681 
122497 
329141 
790716 
748260 
453899 
425576 
207697 
393546 
846491 
675108 
422128 
620909 
862258 
713114 
74701 
335179 
948656 
420137 
15502 
881833 
409110 
129289 
936800 
206319 
175023 
871646 
461008 
629294 
80703 
346238 
740436 
747218 
812528 
630570 
420400 
143230 
929176 
127619 
910413 
20250 
542077 
555031 
836424 
22894 
230601 
297940 
459414 
76281 
963111 
77387 
625504 
619991 
734874 
383717 
224577 
713952 
61943 
254894 
154744 
589619 
684772 
81380 
602590 
960274 
456188 
869664 
917663 
517297 
170969 
319766 
940074 
886028 
902520 
544828 
547946 
820505 
522013 
661087 
501732 
294037 
920741 
47255 
877797 
76690 
578046 
897075 
384343 
503967 
683227 
792848 
24843 
649988 
787333 
373505 
456685 
622809 
467154 
590482 
578062 
534719 
202614 
900074 
464664 
619010 
841025 
655976 
489618 
748082 
665335 
567782 
657038 
857398 
911572 
242831 
4781 
640137 
344520 
776720 
568718 
837607 
485729 
671286 
983297 
744640 
132228 
446114 
811122 
370295 
834581 
864498 
977625 
940806 
772961 
95962 
120397 
732906 
156885 
39213 
593541 
209855 
361727 
743014 
694167 
408720 
830591 
470043 
499971 
613126 
166437 
101352 
576671 
618212 
499972 
990809 
354887 
32634 
453629 
916934 
537568 
857483 
809070 
330098 
43209 
679905 
32638 
548128 
149857 
55183 
657344 
850541 
570642 
528884 
924361 
273993 
341003 
956621 
288055 
623222 
264942 
655637 
642425 
829861 
186154 
398229 
66842 
945205 
175862 
665932 
392785 
736546 
434106 
279746 
902688 
310223 
72755 
757342 
355968 
286150 
513814 
216054 
185289 
266740 
710026 
504067 
136035 
176486 
325962 
538910 
422314 
134487 
901837 
703115 
977247 
801134 
979365 
502709 
211920 
419777 
778792 
966036 
778082 
589591 
173407 
34337 
442441 
245030 
529376 
287911 
996937 
470397 
768581 
729183 
565920 
91323 
980532 
928138 
143946 
435841 
135681 
105325 
573346 
223345 
959308 
280129 
899874 
125677 
812334 
716164 
128828 
452145 
469775 
247363 
645819 
201752 
860285 
211584 
681495 
445402 
894443 
874243 
292494 
246236 
989683 
206835 
301560 
810762 
123477 
494603 
226330 
721538 
794866 
830714 
933268 
202206 
301919 
109711 
49180 
141065 
436851 
144068 
246248 
3289 
707279 
600960 
875710 
521486 
366437 
472801 
967208 
634704 
997832 
38398 
640906 
290001 
820803 
338370 
392115 
313161 
278030 
446668 
861625 
458910 
282757 
437183 
725959 
931195 
993655 
220242 
748101 
98457 
877901 
874138 
428871 
787577 
473917 
219131 
163320 
409946 
300719 
215052 
445324 
347872 
153758 
542541 
740969 
692993 
18365 
361218 
29051 
516726 
211704 
962846 
683891 
467431 
110482 
908172 
262201 
759343 
699941 
778853 
890267 
739719 
223229 
124985 
267673 
646112 
584200 
231928 
294438 
453345 
123923 
783248 
609921 
321293 
154843 
651084 
717732 
732845 
702513 
231630 
867880 
930793 
740939 
584310 
60016 
69682 
81871 
701768 
199117 
557131 
308112 
526403 
625382 
800224 
581830 
971824 
797134 
671902 
329524 
724564 
798152 
126983 
727404 
556052 
292960 
269158 
713193 
396859 
464275 
420108 
473533 
130953 
407721 
597914 
507682 
691780 
173212 
497064 
877089 
542702 
957082 
10832 
988557 
999991 
682284 
115978 
550744 
884241 
23829 
482454 
877425 
787 
303115 
629275 
929744 
743035 
569130 
410636 
121862 
896363 
630081 
888245 
740794 
797743 
906650 
649314 
414656 
878757 
332266 
437828 
448832 
796940 
592687 
70427 
445007 
198980 
439112 
897445 
765311 
48167 
845709 
410522 
9016 
408530 
407193 
957830 
652329 
247755 
891137 
211635 
503058 
319603 
497562 
555941 
814387 
674672 
68041 
562073 
899934 
370539 
353387 
731771 
964348 
581834 
549209 
693155 
362589 
838588 
38133 
248953 
601424 
531703 
441042 
184175 
744352 
274542 
59564 
282314 
157627 
263197 
678329 
645267 
494971 
957092 
893791 
891318 
908304 
631908 
493885 
345887 
336286 
513307 
783853 
771494 
40162 
661802 
215168 
781726 
891281 
831873 
310316 
626206 
240282 
281192 
441264 
898500 
333448 
310409 
124061 
977649 
130095 
185833 
207818 
421646 
386847 
177178 
334495 
158609 
918442 
807074 
470812 
66052 
708856 
188138 
275532 
862582 
524631 
297804 
345333 
147186 
499293 
56152 
760989 
671000 
681693 
993999 
874400 
549058 
798109 
252113 
873098 
582990 
509000 
589265 
361439 
309480 
119434 
385821 
380088 
618089 
829421 
287681 
870936 
213678 
717552 
313237 
157170 
798221 
745233 
717910 
546754 
888590 
169455 
357522 
306247 
590658 
117807 
272542 
892321 
716549 
747789 
845053 
571294 
153535 
462872 
443289 
247885 
824084 
63857 
150652 
31009 
475654 
787187 
410179 
747010 
449769 
872364 
920039 
594847 
326018 
773549 
499393 
716980 
835012 
560831 
235480 
309271 
728490 
949495 
953163 
276716 
795444 
793691 
163486 
692969 
685560 
212283 
626181 
939648 
987267 
793319 
896745 
134319 
943954 
918456 
592710 
975243 
254739 
66868 
543531 
525895 
557751 
591514 
303017 
941330 
867017 
411984 
667221 
119397 
522516 
821524 
341356 
422178 
688541 
227046 
934054 
164986 
840514 
247009 
492282 
990870 
505280 
517049 
782005 
202971 
721759 
162388 
748002 
243630 
840348 
770033 
963904 
24818 
223011 
698818 
991092 
409183 
701060 
987407 
68085 
852809 
113226 
555456 
713436 
733947 
381640 
146910 
272549 
93960 
743535 
927554 
605109 
260154 
713440 
664198 
919500 
990538 
481904 
576815 
125451 
947576 
304715 
364760 
495022 
991070 
931116 
645385 
828011 
12876 
995381 
679238 
174448 
341567 
895966 
720054 
653070 
621638 
851334 
96504 
53328 
646789 
754052 
809241 
440141 
387978 
340938 
657108 
587628 
956268 
734903 
958637 
979480 
627579 
153456 
923830 
954421 
966978 
974612 
75195 
424636 
809574 
868206 
67562 
423838 
694446 
721144 
420778 
329197 
509060 
100985 
520171 
269101 
326615 
576014 
283730 
306101 
786007 
33107 
500362 
789000 
540654 
565538 
869409 
128448 
505868 
829635 
474687 
841554 
407213 
805358 
308834 
526674 
855095 
231412 
136887 
946409 
353268 
347478 
656315 
745615 
178173 
975325 
298791 
656111 
131727 
291327 
705417 
537478 
775387 
811373 
170405 
188506 
236251 
296048 
281218 
972042 
735087 
521508 
377250 
860993 
985847 
333731 
988880 
148182 
250752 
359051 
12592 
77506 
954290 
532659 
150231 
45047 
138763 
34686 
229203 
755769 
363582 
740590 
867384 
26453 
870953 
181385 
301628 
755167 
113526 
282646 
912595 
738929 
637680 
698898 
451003 
15238 
351597 
813599 
389309 
836423 
358653 
495683 
882029 
363864 
53928 
517387 
933130 
592136 
570318 
10139 
862893 
892960 
751539 
720911 
206182 
690418 
944370 
669809 
267395 
54226 
641253 
673711 
335406 
68435 
691438 
401160 
360620 
111501 
353934 
887184 
297218 
581542 
949037 
221682 
436664 
60955 
993848 
13128 
934635 
634427 
367177 
998641 
723709 
872948 
853499 
211999 
956248 
255691 
144817 
753393 
824669 
283389 
585887 
31880 
456774 
515404 
185248 
580934 
18 
390021 
433985 
3053 
783566 
912412 
489046 
148706 
188536 
728349 
505426 
614233 
598302 
512669 
578429 
727129 
10634 
459111 
333268 
728275 
415749 
817781 
568253 
882335 
74884 
524331 
996256 
570495 
578468 
174718 
742704 
549816 
225628 
216908 
559960 
779349 
127889 
438904 
788608 
660044 
567509 
426117 
410689 
533589 
70305 
697022 
27260 
51431 
608142 
331701 
637718 
167253 
515748 
637976 
480257 
22021 
353442 
154762 
24862 
952079 
172778 
428599 
983231 
573541 
58473 
197795 
880016 
183042 
291191 
490834 
437423 
756733 
138327 
788744 
84796 
608510 
411196 
26050 
468548 
73128 
910944 
891188 
315258 
362604 
612060 
149773 
72181 
26918 
61486 
414808 
386345 
209595 
211598 
851361 
632047 
613389 
854183 
275017 
18034 
878229 
182279 
77380 
235985 
722012 
222249 
734251 
767061 
987795 
480638 
981878 
892145 
474431 
649722 
673402 
385043 
84355 
477361 
245161 
650327 
20827 
391798 
804696 
450424 
947541 
918576 
973858 
322751 
679432 
598357 
67543 
131475 
47579 
94648 
439268 
627822 
527418 
226842 
375935 
735938 
104031 
465545 
670650 
191294 
417230 
448598 
779819 
565935 
34160 
456435 
128466 
780362 
410465 
794267 
680109 
612708 
408437 
179627 
46946 
937854 
282134 
375359 
726634 
208509 
639241 
585195 
20205 
677228 
591234 
15998 
599764 
776090 
366325 
764710 
505139 
659899 
42593 
61137 
796232 
451656 
535377 
792089 
760678 
217911 
971013 
934048 
288210 
928481 
220338 
539710 
206302 
586944 
843290 
132237 
670306 
301887 
304692 
968538 
460608 
595532 
293373 
297302 
770647 
582430 
981115 
208512 
565702 
136080 
576812 
685433 
748168 
490129 
642950 
193294 
104546 
98160 
323198 
716761 
381794 
317933 
580930 
817764 
24602 
514776 
645365 
96919 
993284 
337413 
693628 
672047 
657705 
768868 
630102 
452951 
240360 
422588 
119733 
180083 
387846 
259943 
742068 
9658 
932018 
194383 
423236 
283255 
931983 
637616 
